,PROBLEM STATEMENT ,,,,,,,,,,,,
1,"What are the FLN Principles In Tamil ----> How can they guide my Instructional Cycle (For e.g. Are these needed: TPR? 
Decodabel Text?  Blending? )","Phonological awareness (Rhymes/Stories)
Oral language development (Needs more research from the app POV)
Tamil letters
Segmenting & Blending
Decoding
RF & RC
Tracing & Writing",,,,,,,,,,,
2,What are the common sections from Enjoy English that must be repeated in Enjoy Tamil ,"Rhymes
Stories
Phonics
RC",Can have Rhyme or story?,,,,,,,,,,
3,What new sections are needed? L1/L2/L3  wise ,"L1, L2 & L3:
Oral language development (Needs more research from the app POV)
Segmenting & Blending
Tracing & Writing","Our contents are grade-wise or level wise? For example, if a Grade 3/4/5 child doesn't read letters, will we teach letters are not? ",,,,,,,,,,
4,Game Types ? Based on LO mastery (not decoration),"Drag and drop
Fill in the blanks
Identify the first letter and select or write
Matching
Pre-writing (Tracing, Straight, Slanting, Curved lines)
Circle/Touch the learnt letter",,,,,,,,,,,
5,"What is the correct sequence of letters in Tamil for essential mastery? (Tamil Phonics, etc.)","The earlier samacheer sequence, Singapore and other research study sequences are different from the conventional/current sequence used in the textbooks. But if we have to align it with the TN curriculum or supplement it, then we have to follow the same.",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,
,Level 1  (Grade 1/2 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,Comments,Addressing misconceptions
,Week 1 Session 1 ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Rhyme Time,,Listen to Tamil rhyme; identify and say the focus words orally,Rhyme consists of focus words/letters,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Game - Drag and Drop,,,"Child taps the picture matching the focus word they hear. Audio and video reward on correct tap. For example, Amma in audio and as a picture.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Game - Tap and speak,,,Students tap and say the name of the object shown in the picture.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Game - Spot it,,Identify picture that match a specific focus word.,Spot all the ____ - a 4*2 table with 8 images. Students choose all the images of that focus vocab.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Story Time,,Hear focus words in context and use,Story uses week's focus words in natural context. Culturally grounded visuals.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Games - Drag and Drop,,,"Identify the main character? Identify and tap the correct main character.

Answer Wh questions",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Letter Sound Correspondence,,Recognize letter sound correspondence,The video covers words that starts with a common letters sound. Display the objects of the words starting with same letters.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,"If there are vowel markers along with the base letter, explicitly state that, it needs to be read together.

Explicitly state if there is difference between spoken and written form of a word."
,Game - Drag and Drop,,,Catch the same letters. 4 out of 5 could be same letters and 1 could be different. Otherwise all could be the same and children have to just catch. Letters to fall with its sound.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"If they need hint/help, we could colour the same letters with similar colours.",
,Game - Sort it,,,Sort the same letters in same utensil/bag.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Game - Drag and Drop,,,Students click the correct letter for the sound heard or vice versa.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Let us write,,,"Show the letter script and its sound. Also show, how to write a letter - step by step.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
,Game - Trace letters,,,Dotted letter stroke path with animated guide. Child traces with finger. Stroke order enforced gently.,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"If hint be asked, the starting point of the stroke be shown at any point of time, if not shown otherwise. If there is a giveup option, then whole letter could be traced step by step."
,,,,,,,,,,,,,
,Week 1 Session 2,,,,,,,,,,,,
,Rhyme Time recap,,Listen to Tamil rhyme; identify and say the focus words orally,"Rhyme consists of focus words/letters. The lyrics could be shown on the second day. Otherwise, similar to English, recap the focus words through picture.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"The lyrics could be shown on the second day. Otherwise, similar to English, recap the focus words through picture.",
,Game - Drag and Drop,,,"Child taps the picture matching the focus word they hear. Audio and video reward on correct tap. For example, Amma in audio and as a picture.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Game - Spot it,,Identify picture that match a specific focus word.,Spot all the ____ - a 4*2 table with 8 images. Students choose all the images of that focus vocab.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together.And vice versa.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Already learnt letters to be shown in the starting of this video.,
,Game - Drag and Drop,,,Tap the flower: Flowers with letters grow in a garden. Audio says a sound. Tap only flowers with the matching letter. Others wilt if tapped. Correct ones bloom.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Another option could be slicing the same letters. (Like fruit ninja),"If there are vowel markers along with the base letter, explicitly state that, it needs to be read together.

Explicitly state if there is difference between spoken and written form of a word."
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Let us write,,,"Show the word and its pronounciation. Also show, how to write a letter - step by step.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
,Game - Tracing,,,Dotted words path with animated guide. Child traces with finger. Stroke order enforced gently.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
,Week 1 Session 3 (Revision),,,,,,,,,,,,
,,,,,,,,,,,,,
,Recap video,,,Child taps the picture matching the focus word they hear.,,,,,,,,,
,Letter Sound Correspondence,,,Games finalized for this.,,,,,,,,,
,Blending,,,Games finalized for this.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,
,Level 2  (Grade 3 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,Comments,Addressing misconceptions
,Week 1 Session 1 ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Rhyme Time,,Listen to Tamil rhyme; identify and say the focus words orally,Rhyme consists of focus words/letters.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,"Game - Drag and Drop
Retain drag and drop - But we need to improve the audio options (use actual audio icons or something closer instead of coloured buttons we have now)",,Identify picture that match a specific focus word.,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,"Give 3 clue words and students find the connecting focus word - example: sick, medicine, treatment -> doctor (images given next to each clue, answer options has the word+picture, students choose the correct answer)",,Identify the logical link between the different words ,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Story Time,,Hear focus words in context and use,Story uses week's focus words in natural context. Culturally grounded visuals.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Games - Drag and Drop,,,Answer Wh questions,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together.And vice versa. This can be also used for singular and plural.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Game - Fill the bottle of words ending with same sound,,,Find and group words with same first/second.../last letters. We can show the objects of a word instead.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
,Let us write,,,"Show the word and its pronounciation. Also show, how to write a letter - step by step.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
,Game - Tracing,,,Dotted words path with animated guide. Child traces with finger. Stroke order enforced gently.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
,,,,,,,,,,,,,
,Week 1 Session 2,,,,,,,,,,,,
,Rhyme Time recap,,Listen to Tamil rhyme; identify and say the focus words orally,"Rhyme consists of focus words/letters. The lyrics could be shown on the second day. Otherwise, similar to English, recap the focus words through picture.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Game - Drag and Drop,,,"Child taps the picture matching the focus word they hear. Audio and video reward on correct tap. For example, Amma in audio and as a picture.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Game - Spot it,,Identify picture that match a specific focus word.,Spot all the ____ - a 4*2 table with 8 images. Students choose all the images of that focus vocab.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together.And vice versa. This can be also used for singular and plural.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Game - Fill the bottle of words ending with same sound,,,Find and group words with same first/second.../last letters. We can show the objects of a word instead.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
,Read With Me ,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
,Decodable texts containing the words learnt that week. 4 to 5 lines at the maximum.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Games -> Usual drag and drop // choose the correct answer works. WH questions.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Jumbled sentence with 4 words. Students order it correctly. ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
,Tap and Speak - students read the sentences,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,,,,,,,,,,,,,
,Week 1 Session 3 (Revision),,,,,,,,,,,,
,,,,,,,,,,,,,
,Recap video,,,"Recognize and name focus words during a timed slideshow, improving their speed of word retrieval.",,,,,,,,,
,Blending & Segmenting,,,Games finalized for this.,,,,,,,,,
,Read With Me ,,,Games finalized for this.,,,,,,,,,
,,,,,,,,,,,,,
,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,
,Level 3  (Grade 4 & 5 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,,
,Week 1 Session 1 ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Rhyme Time,,Listen to Tamil rhyme; identify and say the focus words orally,Rhyme consists of focus words/letters,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,"Game - Drag and drop

Give 3 clue pictures/words and students find the focus word - example: sick, medicine, treatment -> doctor. (No pictures in the clues or the answer option, students are expected to read, understand and answer correctly) ",,Identify the logical link between the different words ,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
,Story Time,,Hear focus words in context and use,Story uses week's focus words in natural context. Culturally grounded visuals.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Games - Drag and Drop,,,Recall and identify key details from a story.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together. And vice versa. Here we can also teach, gender and person markers.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,,,,,,,,,,,,,
,Week 1 Session 2,,,,,,,,,,,,
,Rhyme Time recap,,Listen to Tamil rhyme; identify and say the focus words orally,"Rhyme consists of focus words/letters. The lyrics could be shown on the second day. Otherwise, similar to English, recap the focus words through picture.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Game - Drag and Drop,,,"Child taps the picture matching the focus word they hear. Audio and video reward on correct tap. For example, Amma in audio and as a picture.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Game - Spot it,,Identify picture that match a specific focus word.,Spot all the ____ - a 4*2 table with 8 images. Students choose all the images of that focus vocab.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together. And vice versa.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Game (Like Crossword),,,Tap the synonyms/antonyms of the word.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
,Read With Me ,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
,Decodable texts containing the words learnt that week. 4 to 5 lines at the maximum.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Games -> Usual drag and drop // choose the correct answer works. WH questions.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Jumbled sentence with 4 words. Students order it correctly. ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
,Tap and Speak - students read the sentences,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Week 1 Session 3,,,,,,,,,,,,
,,,,,,,,,,,,,
,Rhyme Time,,,"Recognize and name focus words during a timed slideshow, improving their speed of word retrieval.",,,,,,,,,
,Blending & Segmenting,,,Games finalized for this.,,,,,,,,,
,Read With Me ,,,Games finalized for this.,,,,,,,,,
